,id,index,name,address,phone
0,1,3,차병원점,서울시 강남구 논현로 566 강남차병원1층  ,02-538-7615
1,2,6,강남대로점,서울시 서초구 강남대로 369 1층  ,02-588-5778
2,3,12,청담에스점,"서울시 강남구 압구정로 461 네이처포엠빌딩B108,109호  ",02-548-6052
3,4,13,신사점,서울시 강남구 도산대로 126  ,02-548-2741
4,5,15,역삼점,"서울시 강남구 논현로 512  지상1,2층  ",02-569-8051
5,6,16,양재스포타임점,서울시 서초구 강남대로 213 24호 지하1층  ,02-578-6833
6,7,17,청담성당점,서울시 강남구 삼성로 716 LEE76빌딩2층  ,02-542-2053
7,8,18,영동점,서울 서초구 반포동 736-17 P빌딩 2층  ,02-3443-2096
8,9,19,도곡점,"서울시 강남구 언주로 30길 10,112 현대비젼21 112호  ",02-572-2781
9,10,20,영동고앞점,"서울시 강남구 선릉로 749 1,2층  ",02-544-3794
10,11,25,압구정시티점,"서울시 강남구 도산대로49길 13 1층 17,18호  ",02-543-5922
11,12,27,서초우성점,서울시 서초구 강남대로 51길 1 511 TOWER  1층  ,02-582-0158
12,13,28,논현팍스타워점,서울시 강남구 논현 231-13호 팍스타워지하1층  ,02-513-3870
13,14,29,삼성오크우드점,서울 강남구 테헤란로87길 46 지하 2층  ,02-3466-8507
14,15,30,트레이드타워점,서울시 강남구 영동대로 511 트레이드타워 지하1층  ,02-803-9994
15,16,31,삼성봉은사거리점,"서울시 강남구 영동대로 607 1,2층  ",02-3443-5618
16,17,35,잠실신천점,서울시 송파구 석촌호수로 118 1층  ,02-416-9520
17,18,36,서초지파이브점,"서울시 서초구 서초동 1685-8호 101~2호,113~4호,121호  ",02-3477-5580
18,19,38,논현동수면센터점,서울시 강남구 논현로 717 1층  ,02-3443-5575
19,20,41,삼성전자강남사옥점,서울시 서초구 서초대로74길 11 지하2층  ,02-2055-1142
20,21,44,삼성생명강남사옥점,서울시 서초구 서초대로74길 4 삼성생명보험서초타워내지하1층  ,02-581-5562
21,22,45,방배카페골목점,서울특별시 서초구 방배중앙로 187  ,02-592-7794
22,23,46,역삼포스틸타워뒷점,서울시 강남구 테헤란로 20길 10 쓰리엠타워1층  ,02-554-9962
23,24,47,테헤란로하이닉스뒷점,서울시 강남구 테헤란로 70길 12 1층  ,02-538-9927
24,25,49,삼성봉은사로점,서울시 강남구 봉은사로 628 엘슨빌딩1층  ,02-538-4523
25,26,50,방이점,서울시 송파구 오금로 11길 7  ,02-415-5561
26,27,51,매봉역점,서울시 강남구 논현로 38길 42 418호  ,02-529-9947
27,28,52,남부터미널역점,서울시 서초구 서초중앙로 43 로얄타워1층  ,02-523-3671
28,29,53,강남역랭기지타워점,서울시 강남구 테헤란로4길 28 826-28호 1층  ,02-563-3655
29,30,55,도심공항타워점,서울시 강남구 테헤란로87길 36 공항타워 1층  ,02-2016-5330
30,31,57,청담카페점,"서울시 강남구 도산대로 67길 7,파크빌딩 1층  ",02-514-5622
31,32,59,광화문점,서울 종로구 서린동 136 센트리얼빌딩 1층  ,02-3210-2326
32,33,61,경희궁의아침점,서울시 종로구 새문안로3길 23 경희궁아침상가4단지105외  ,02-730-8896
33,34,63,홍대역점,서울시 마포구 홍익로 6길 26  ,02-333-4278
34,35,65,순화점,서울시 중구 순화202  1-94 프레이저플레이스레지던스1층  ,02-2220-8198
35,36,66,종로관철동점,"서울시 종로구 청계천로 83 11-4호 지하1,지상1~3층  ",02-738-5333
36,37,67,소공동삼화빌딩점,서울 중구 남대문로7길 16 한컴빌딩 1층  ,02-753-8004
37,38,69,강변테크노마트점,서울시 광진구 광나루로56길 85 테크노마트9층35호  ,02-3424-5480
38,39,71,외대앞점,서울시 동대문구 이문로 106 1~3층  ,02-959-7750
39,40,73,고대안암역점,서울시 성북구 개운사길8 101-3 1층  ,02-953-6652
40,41,74,순화동라마다호텔점,서울시 중구 칠패로 27 151호  ,02-3789-3347
41,42,80,신촌점,서울시 서대문구 창천 18-26호 B1  ,02-363-5572
42,43,81,건대스타시티점,서울시 광진구 자양동 227-342호 롯데백화점 옆 더클래식500건물 1층  ,02-444-9861
43,44,83,하나은행경복궁역점,"서울시 종로구 사직로 130,1 현대적선빌딩1층  ",02-733-5108
44,45,85,서울스퀘어점,서울시 중구 한강대로 416 지하1층  ,02-6456-8907
45,46,87,목동점,서울시 양천구 목동동로 293 현대41타워1층  ,02-2654-5981
46,47,88,여의도34번지점,서울 영등포구 국제금융로 52 심팩빌딩 1층  ,02-557-0510
47,48,89,여의도교보증권점,서울시 영등포구 의사당대로 97 26-4 교보증권빌딩1층  ,02-783-6058
48,49,94,여의도순복음교회옆점,서울시 영등포구 여의서로 43 한서리버파크2층  ,02-780-7758
49,50,102,부산광복동점,부산광역시 중구 창선동 2가 8-2  ,051-243-9105
