field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,_GC_TYPE,_CLEANADDR,_X,_Y
1,강원도 재활병원,시도립,강원도재활병원설치및운영에관한조례,강원도,해당없음,32200641,병원,165,24227,강원도 춘천시 충열로 142번길 24-16,www.grh.or.kr,033-248-7700,033-248-7723,,정,강원특별자치도 춘천시 충열로142번길 24-16 (우두동),127.74121767728347,37.90372694119799
2,강원도 삼척의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(강원도),지방의료원,32100060,종합병원,152,25920,강원도 삼척시 오십천로 418,http://ksmc.or.kr,033-572-1141,033-573-8424,,정,강원특별자치도 삼척시 오십천로 418 (남양동),129.16384210841304,37.440187819438876
4,강원도 원주의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(강원도),지방의료원,32100086,종합병원,237,26448,강원도 원주시 서원대로 387(개운동),www.kwmc.or.kr,033-760-4500,033-761-5121,,정,강원특별자치도 원주시 서원대로 387 (개운동),127.94904260241238,37.33280345302251
5,강원도 강릉의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(강원도),지방의료원,32100159,종합병원,137,25535,강원도 강릉시 경강로 2007(남문동 164-1),http://www.gnmc.or.kr,033-646-6910,033-610-1415,,정,강원특별자치도 강릉시 경강로 2007 (남문동),128.8887708161526,37.74928066957604
3,강원도 영월의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(강원도),지방의료원,32100078,종합병원,214,26234,강원도 영월군 영월읍 중앙1로 59,http://www.youngwol.org,033-370-9117,033-370-9137,,정,강원특별자치도 영월군 중앙1로 59 (영월읍),128.46528328794182,37.18652034825699
7,춘천시 노인전문병원,시군구립,노인복지법 춘천시노인전문병원설치및 운영에관한조례,강원도,해당없음,32280271,요양병원,166,24216,강원도 춘천시 세실로 252,http://ccsilverhospital.co.kr,033-240-7500,033-240-7591,,정,강원특별자치도 춘천시 세실로 252 (동면),127.75623936104627,37.880184828744824
6,강원도 속초의료원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(강원도),지방의료원,32100141,종합병원,190,24821,강원도 속초시 영랑호반길 3,http://www.sokchomc.co.kr,033-630-6000,033-630-6004,,정,강원특별자치도 속초시 영랑호반길 3 (영랑동),128.58906701700556,38.21662236877058
8,강원도립강릉요양병원,시도립,강원도립강릉요양병원 설치 및 운영 조례,강원도,해당없음,32280424,요양병원,124,25535,강원도 강릉시 경강로 2007,http://www.gnmch.or.kr,033-640-8800,033-640-8825,,정,강원특별자치도 강릉시 경강로 2007 (남문동),128.8887708161526,37.74928066957604
9,정선군립병원,시군구립,군립의료기관 설립 및 운영에관한조례,강원도,해당없음,32201184,병원,61,26150,강원도 정선군 사북읍 지장천로 727,없음,033-592-3121,033-592-3125,,정,강원특별자치도 정선군 지장천로 727 (사북읍),128.8259744555268,37.22524894791621
12,경기도의료원 안성병원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(경기도),지방의료원,31100341,종합병원,151,17572,경기도 안성시 고수2로 17번지(당왕동),http://www.medical.or.kr/_as_gpmc/,031-8046-5000,031-8046-5555,,유,경기도 안성시 고수2로 18 (당왕동),127.25848175794546,37.014686122408506
11,경기도의료원 이천병원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(경기도),지방의료원,31101151,종합병원,115,17366,경기도 이천시 경충대로 2742,http://www.medical.or.kr/_ic_gpmc/,031-639-4800,031-636-7500,,정,경기도 이천시 경충대로 2742 (관고동),127.4333353961508,37.28276806830799
13,경기도의료원 의정부병원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(경기도),지방의료원,31100287,종합병원,227,11671,경기도 의정부시 흥선로 142 (의정부동),http://www.medical.or.kr/_uj_gpmc/,031-828-5000,031-828-5024,,정,경기도 의정부시 흥선로 142 (의정부동),127.04265521342191,37.74105274407721
14,경기도의료원 포천병원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(경기도),지방의료원,31100317,종합병원,150,11142,경기도 포천시 포천로 1648(신읍동),http://www.medical.or.kr/_pc_gpmc/,031-539-9114,031-532-0137,,정,경기도 포천시 포천로 1648 (신읍동),127.19828531503029,37.90334209081855
10,경기도의료원 수원병원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(경기도),지방의료원,31100988,종합병원,143,16316,경기도 수원시 장안구 수성로 245번길 69,http://www.medical.or.kr/_sw_gpmc/,031-888-0114,031-244-0242,,정,경기도 수원시 장안구 수성로245번길 69 (정자동),126.99632857116077,37.29188487504315
15,경기도의료원 파주병원,특수법인,지방의료원의 설립 및 운영에 관한 법률,보건복지부(경기도),지방의료원,31100325,종합병원,192,10922,경기도 파주시 중앙로 207(금촌동),http://www.medical.or.kr/_pj_gpmc/,031-940-9100,031-944-7729,,정,경기도 파주시 중앙로 207 (금촌동),126.78023080550831,37.75501540430485
17,경기도노인전문 평택병원,시도립,경기도노인전문병원 설치 및 운영에 관한 조례,경기도,해당없음,31284311,요양병원,230,17723,경기도 평택시 삼남로 312(도일동),goodmsilver.co.kr,031-669-9988,031-669-9933,,정,경기도 평택시 삼남로 312 (도일동),127.0975814499387,37.053855141008846
19,경기도노인전문여주병원,시도립,경기도노인전문병원 설치 및 운영에 관한 조례,경기도,해당없음,31282610,요양병원,189,12613,경기도 여주시 북내면 도예로 361-14,www.noinhospital.or.kr,031-886-4100,031-886-4055,2006(증축),정,경기도 여주시 도예로 361-14 (북내면),127.66959821908776,37.32501015890514
