Name,Type,RoadName,ParcelNumber,PostalCode
청담실버타운5차,주택,서울 강남구 도산대로72길 31,청담동 13-41,06063
신우실버타운,주택,서울 강남구 학동로82길 28,삼성동 65-6,06084
실버타운,"스파게티,파스타전문",서울 관악구 남부순환로214길 30 1층 실버타운,봉천동 896-24 1층 실버타운,08786
치악산실버타운,노인복지,강원 횡성군 강림면 태종로 92,강림리 744-5,25272
호세실버타운,노인복지,인천 강화군 불은면 고려왕릉로 376 호세요양원,두운리 342-5,23046
실버타운,노인복지,경기 이천시 영창로 188,창전동 158-1,17369
실버타운,주택,경북 경산시 자인면 북사로7길 30,북사리 259-4,38555
서면 실버복지타운,노인복지,경남 남해군 서면 스포츠로 672,서상리 521,52410
실버타운청심빌리지,노인복지,경기 가평군 설악면 미사리로 191-16,송산리 711-1,12461
더힐실버타운,노인복지,경기 용인시 기흥구 석성로521번길 14-21 더힐실버타운,동백동 381-12 더힐실버타운,16895
워커힐실버타운,노인복지,서울 광진구 워커힐로 93 워커힐실버타운,구의동 16-3 워커힐실버타운,04958
한사랑실버타운,노인복지,광주 북구 치로1번길 9,중흥동 348-14,61218
늘푸른실버타운,노인복지,경기 고양시 일산동구 성현로 185-33,성석동 524-28,10252
동해약천온천실버타운,노인복지,강원 동해시 석두골길 145,망상동 459-10,25701
천안실버타운,노인복지,충남 천안시 동남구 목천읍 운전4길 6,운전리 41-9,
삼성홈실버타운,노인복지,서울 도봉구 도봉로180길 46,도봉동 62-40,01320
레인보우빌리지 실버타운,노인복지,경기 용인시 기흥구 기흥로116번길 99,언남동 215-8,16958
효덕실버타운,"경로당,노인정",광주 광산구 산로 133,산동 872-17,62365
유당마을실버타운,노인복지,경기 수원시 장안구 수일로191번길 26 유당마을,조원동 119-3 유당마을,16293
삼성실버타운주간보호센터,재가노인요양센터,전북 익산시 선화로 836-16,부송동 135-1,54549
에쉐르카운티 실버타운형 아파트,노인복지,인천 미추홀구 주승로 110,주안동 1216-17,22231
케어닥케어홈 실버타운 송추포레스트점,노인복지,경기 양주시 장흥면 가마골로100번길 68-28,부곡리 382-14,11521
황전실버타운,노인복지,부산 동래구 구만덕로 172 황전실버타운,온천동 1737 황전실버타운,47718
겔러리온 실버타운,노인복지,경기 김포시 월곶면 김포대로 2529,갈산리 465-1,10023
청평태양실버타운,노인복지,경기 가평군 청평면 강변로 125,청평리 134-62,12453
낙원실버타운&암자연치유,노인복지,울산 울주군 삼동면 은현작동로 440-75 1층,작동리 797-1 1층,44965
흰돌실버타운,노인복지,부산 수영구 연수로260번길 53,망미동 774-283,48239
해인실버타운,노인복지,경북 포항시 남구 동해면 연오로42번길 3,도구리 43,
경주안심실버타운,재가노인요양센터,경북 경주시 양정로 294 3층,동천동 987-6 3층,38099
홍광실버타운,노인복지,충북 제천시 제천북로18길 9,고암동 978-2,27138
도원실버타운,노인복지,대구 수성구 팔현길 126-11,고모동 88-10,42260
성라실버타운,노인복지,서울 성북구 성북로31길 27 성라원,성북동 285 사회복지법인성라원,02879
원불교하이원빌리지,노인복지,서울 용산구 한강대로40가길 24 하이원빌리지,한강로2가 55,04382
초원실버타운,노인복지,전남 목포시 영산로 49,대의동2가 1-9,58729
에덴실버타운,노인복지,충북 충주시 풍동동막길 199,풍동 644,27479
미리내실버타운,노인복지,경기 안성시 양성면 미리내성지로 386-27 미리내실버타운,미산리 175-1,17500
가나실버타운,노인복지,인천 서구 연희로42번길 14,연희동 727-7,22719
대구 신세계주간보호센터,재가노인요양센터,대구 달서구 상화로 33 대경빌딩 A동 3층,진천동 731-13 대경빌딩 A동 3층,42777
익산실버타운주간보호센터,재가노인요양센터,전북 익산시 배산로16길 36 2층,모현동1가 297-6,54659
서민실버타운,노인복지,경기 안산시 상록구 광덕산3로 49,월피동 509-16,15259
칠곡실버타운,노인복지,경북 칠곡군 왜관읍 금남3길 27-30,금남리 263-1,
글로리아실버타운,노인복지,경기 남양주시 진건읍 사릉로156번길 275 글로리아 실버타운,송능리 304-2 글로리아 실버타운,12140
노엘실버타운,노인복지,광주 서구 세동2길 21-4,세하동 477,62076
서포항실버타운,노인복지,경북 포항시 북구 기계면 기계로 573,지가리 1009-1,37526
효사랑실버타운,노인복지,대구 동구 경안로109길 40,서호동 7-31,41111
