field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
청담실버타운5차,주택,서울 강남구 도산대로72길 31,청담동 13-41,06063,정,서울특별시 강남구 청담동 13-41,127.04585125964175,37.52226005112902
신우실버타운,주택,서울 강남구 학동로82길 28,삼성동 65-6,06084,정,서울특별시 강남구 삼성동 65-6,127.05189393478221,37.51707447027636
호세실버타운,노인복지,인천 강화군 불은면 고려왕릉로 376 호세요양원,두운리 342-5,23046,정,인천광역시 강화군 불은면 두운리 342-5,126.47792581736246,37.67535709515886
실버타운,"스파게티,파스타전문",서울 관악구 남부순환로214길 30 1층 실버타운,봉천동 896-24 1층 실버타운,08786,정,서울특별시 관악구 봉천동 896-24,126.94739456823717,37.480304252456456
치악산실버타운,노인복지,강원 횡성군 강림면 태종로 92,강림리 744-5,25272,정,강원특별자치도 횡성군 강림면 강림리 744-5,128.12099426147597,37.35756528187912
실버타운,노인복지,경기 이천시 영창로 188,창전동 158-1,17369,정,서울특별시 마포구 창전동 158-1,126.93101613038985,37.54569604285559
실버타운,주택,경북 경산시 자인면 북사로7길 30,북사리 259-4,38555,정,경상북도 경산시 자인면 북사리 259-4,128.82065770676513,35.822469200215764
더힐실버타운,노인복지,경기 용인시 기흥구 석성로521번길 14-21 더힐실버타운,동백동 381-12 더힐실버타운,16895,정,경기도 용인시 기흥구 동백동 381-12,127.15644629616715,37.291499783611066
워커힐실버타운,노인복지,서울 광진구 워커힐로 93 워커힐실버타운,구의동 16-3 워커힐실버타운,04958,정,서울특별시 광진구 구의동 16-3,127.09772119270416,37.550708041751804
한사랑실버타운,노인복지,광주 북구 치로1번길 9,중흥동 348-14,61218,정,광주광역시 북구 중흥동 348-14,126.9092015641043,35.16795700097997
서면 실버복지타운,노인복지,경남 남해군 서면 스포츠로 672,서상리 521,52410,정,경상북도 청도군 화양읍 서상리 521,128.70058745260502,35.6539600397933
동해약천온천실버타운,노인복지,강원 동해시 석두골길 145,망상동 459-10,25701,정,강원특별자치도 동해시 망상동 459-10,129.06776589663062,37.59347967329687
늘푸른실버타운,노인복지,경기 고양시 일산동구 성현로 185-33,성석동 524-28,10252,정,경기도 고양시 일산동구 성석동 524-28,126.80668650635593,37.71002109463689
삼성홈실버타운,노인복지,서울 도봉구 도봉로180길 46,도봉동 62-40,01320,정,서울특별시 도봉구 도봉동 62-40,127.04779089576719,37.6822048125247
레인보우빌리지 실버타운,노인복지,경기 용인시 기흥구 기흥로116번길 99,언남동 215-8,16958,정,경기도 용인시 기흥구 언남동 215-8,127.12105994918043,37.29015568790137
천안실버타운,노인복지,충남 천안시 동남구 목천읍 운전4길 6,운전리 41-9,,정,충청남도 천안시 동남구 목천읍 운전리 41-9,127.23081798518696,36.7653458522794
삼성실버타운주간보호센터,재가노인요양센터,전북 익산시 선화로 836-16,부송동 135-1,54549,정,전북특별자치도 익산시 부송동 135-1,127.00127403969644,35.97040742156809
유당마을실버타운,노인복지,경기 수원시 장안구 수일로191번길 26 유당마을,조원동 119-3 유당마을,16293,정,경기도 수원시 장안구 조원동 119-3,127.0110377087519,37.30947458352804
청평태양실버타운,노인복지,경기 가평군 청평면 강변로 125,청평리 134-62,12453,정,경기도 가평군 청평면 청평리 134-62,127.42594410286135,37.73169374417046
실버타운청심빌리지,노인복지,경기 가평군 설악면 미사리로 191-16,송산리 711-1,12461,정,경기도 화성시 양감면 송산리 711-1,126.98660786985943,37.105096068909525
에쉐르카운티 실버타운형 아파트,노인복지,인천 미추홀구 주승로 110,주안동 1216-17,22231,정,인천광역시 미추홀구 주안동 1216-17,126.6826567538624,37.44506778932481
낙원실버타운&암자연치유,노인복지,울산 울주군 삼동면 은현작동로 440-75 1층,작동리 797-1 1층,44965,정,울산광역시 울주군 삼동면 작동리 797-1,129.1810370766598,35.48295794031175
흰돌실버타운,노인복지,부산 수영구 연수로260번길 53,망미동 774-283,48239,정,부산광역시 수영구 망미동 774-283,129.0988476527567,35.17065686521251
해인실버타운,노인복지,경북 포항시 남구 동해면 연오로42번길 3,도구리 43,,정,경상북도 포항시 남구 동해면 도구리 43,129.4412847945368,35.984354566131856
도원실버타운,노인복지,대구 수성구 팔현길 126-11,고모동 88-10,42260,정,대구광역시 수성구 고모동 88-10,128.66652206460913,35.870386920373655
황전실버타운,노인복지,부산 동래구 구만덕로 172 황전실버타운,온천동 1737 황전실버타운,47718,정,부산광역시 동래구 온천동 1737,129.055097785533,35.21159095872639
경주안심실버타운,재가노인요양센터,경북 경주시 양정로 294 3층,동천동 987-6 3층,38099,정,경상북도 경주시 동천동 987-6,129.22445810277418,35.859034285283016
케어닥케어홈 실버타운 송추포레스트점,노인복지,경기 양주시 장흥면 가마골로100번길 68-28,부곡리 382-14,11521,정,경기도 양주시 장흥면 부곡리 382-14,126.98033351864169,37.727369784962185
효덕실버타운,"경로당,노인정",광주 광산구 산로 133,산동 872-17,62365,유,경상북도 구미시 산동읍 인덕리 872-9,128.44189140578462,36.167115312672635
초원실버타운,노인복지,전남 목포시 영산로 49,대의동2가 1-9,58729,정,전라남도 목포시 대의동2가 1-9,126.38381054645563,34.78720931144538
에덴실버타운,노인복지,충북 충주시 풍동동막길 199,풍동 644,27479,정,충청북도 충주시 풍동 644,127.90030890457525,36.92800220958083
서민실버타운,노인복지,경기 안산시 상록구 광덕산3로 49,월피동 509-16,15259,정,경기도 안산시 상록구 월피동 509-16,126.84596988888788,37.33449186996851
홍광실버타운,노인복지,충북 제천시 제천북로18길 9,고암동 978-2,27138,정,충청북도 제천시 고암동 978-2,128.21830204647227,37.16514089527241
성라실버타운,노인복지,서울 성북구 성북로31길 27 성라원,성북동 285 사회복지법인성라원,02879,정,부산광역시 강서구 성북동 285,128.83100492266536,35.05592315744945
노엘실버타운,노인복지,광주 서구 세동2길 21-4,세하동 477,62076,정,광주광역시 서구 세하동 477,126.83182734645166,35.11563322339686
칠곡실버타운,노인복지,경북 칠곡군 왜관읍 금남3길 27-30,금남리 263-1,,정,경상북도 칠곡군 왜관읍 금남리 263-1,128.41143407463517,35.92930108173892
성덕실버타운,노인복지,대구 동구 서촌로21길 20-16,덕곡동 592,41000,정,경상북도 김천시 덕곡동 592,128.1442719369534,36.12964946828423
미리내실버타운,노인복지,경기 안성시 양성면 미리내성지로 386-27 미리내실버타운,미산리 175-1,17500,정,경기도 안성시 양성면 미산리 175-1,127.26095055855839,37.1375256041102
겔러리온 실버타운,노인복지,경기 김포시 월곶면 김포대로 2529,갈산리 465-1,10023,정,전북특별자치도 익산시 성당면 갈산리 465-1,126.92769744223175,36.08883240638562
서포항실버타운,노인복지,경북 포항시 북구 기계면 기계로 573,지가리 1009-1,37526,정,경상북도 포항시 북구 기계면 지가리 1009-1,129.16127847116036,36.0887127285568
원불교하이원빌리지,노인복지,서울 용산구 한강대로40가길 24 하이원빌리지,한강로2가 55,04382,정,서울특별시 용산구 한강로2가 55,126.97225159598774,37.530972060354415
대구 신세계주간보호센터,재가노인요양센터,대구 달서구 상화로 33 대경빌딩 A동 3층,진천동 731-13 대경빌딩 A동 3층,42777,정,대구광역시 달서구 진천동 731-13,128.5187028972879,35.808794169522955
가나실버타운,노인복지,인천 서구 연희로42번길 14,연희동 727-7,22719,정,인천광역시 서구 연희동 727-7,126.67251112990476,37.550599242427886
왕지실버타운요양원.주간보호센터.,"요양원,요양센터",전남 순천시 왕지로 187,왕지동 162,57931,정,전라남도 순천시 왕지동 162,127.53934398052326,34.97702844025512
군포행복실버타운,노인복지,경기 군포시 고산로250번길 12 5층,당동 917-4 5층,15856,정,경기도 군포시 당동 917-4,126.94499220412689,37.347041047149695
근영실버타운,노인복지,경기 화성시 정남면 덕절중앙길 1-17,덕절리 178-6,18515,정,경기도 화성시 정남면 덕절리 178-6,127.02394985561862,37.133617316550584
한국노인복지진흥재단포천실버타운,노인복지,경기 포천시 내촌면 금강로2536번길 112-12,소학리 314-8,11189,정,경기도 포천시 내촌면 소학리 314-8,127.2486641771679,37.79447217648258
효사랑실버타운,노인복지,대구 동구 경안로109길 40,서호동 7-31,41111,정,대구광역시 동구 서호동 7-31,128.70939328649453,35.871937223377856
글로리아실버타운,노인복지,경기 남양주시 진건읍 사릉로156번길 275 글로리아 실버타운,송능리 304-2 글로리아 실버타운,12140,정,경기도 남양주시 진건읍 송능리 304-2,127.21560359344839,37.661602662676394
익산실버타운주간보호센터,재가노인요양센터,전북 익산시 배산로16길 36 2층,모현동1가 297-6,54659,정,전북특별자치도 익산시 모현동1가 297-6,126.94330293829324,35.94659005280586
한사랑실버타운,노인복지,경남 산청군 생비량면 비량로 411-7,가계리 1023,52255,정,경상남도 산청군 생비량면 가계리 1023,128.06603767970222,35.36290746358602
에덴실버타운,노인복지,광주 광산구 노안삼도로 1323,삼거동 322-7,62407,정,광주광역시 광산구 삼거동 322-7,126.67206292985587,35.15457249613457
희연실버타운,노인복지,대구 북구 산격로 17,산격동 1433-10,41543,정,대구광역시 북구 산격동 1433-10,128.60517886646406,35.89197495272852
의왕브이아이피실버타운,노인복지,경기 의왕시 잿말길 43-1,월암동 651-3,16107,정,경기도 의왕시 월암동 651-3,126.95440660576772,37.30384517699387
에덴실버타운주간보호센터,노인복지,경남 합천군 대양면 대야로 669,정양리 208,50239,정,경상남도 합천군 대양면 정양리 208,128.16353913834084,35.5485911716642
섬김실버타운,노인복지,광주 서구 용두길 123,용두동 637-1,62078,정,경기도 고양시 덕양구 용두동 637-1,126.87866693804239,37.62797433869039
한사랑실버타운,노인복지,대구 동구 반야월로18길 48,율하동 233-2,41119,정,대구광역시 동구 율하동 233-2,128.69723183662057,35.8714912267405
단포실버타운,재가노인요양센터,경북 영천시 고경면 단포구보길 65,단포리 342-10,38900,정,경상북도 영천시 고경면 단포리 342-10,128.97026259409625,35.97317935086332
어버이사랑노인의료실버타운 병설데이케어센터3,재가노인요양센터,서울 영등포구 도림로 323 건영상가 2층,신길동 364 건영상가 2층,07380,정,서울특별시 영등포구 신길동 364,126.9012842512766,37.50576061180967
호산실버타운,노인복지,대구 북구 관음동로9길 22 호산실버타운,관음동 600-1 호산실버타운,41444,유,대구광역시 북구 관음동 600-1,128.54471258547315,35.93760029391327
참사랑실버타운,노인복지,대구 서구 가르뱅이로21길 3,상리동 214-1,41750,정,대구광역시 서구 상리동 214-1,128.52800995152387,35.880870063361144
아름다운실버타운,노인복지,경북 청송군 청송읍 길안청송로 1692-29,덕리 300,37432,정,경상북도 청송군 청송읍 덕리 300,129.0487716244157,36.43241257501582
로뎀나무실버타운,노인복지,경북 구미시 고아읍 들성로9길 20-39,문성리 1236,,정,경상북도 구미시 고아읍 문성리 1236,128.346443110005,36.16297235822259
효원실버타운,노인복지,대구 남구 두류공원로 110,대명동 3045-29,42460,정,대구광역시 남구 대명동 3045-29,128.56818065870505,35.84616652580246
장수실버타운,노인복지,경북 영천시 수원지길 75,성내동 243-6,38841,정,경상남도 창원시 진해구 성내동 243-6,128.75646720929464,35.11431458501073
효자실버타운,노인복지,대구 달성군 화원읍 사문진로 447,천내리 156-1,42955,정,대구광역시 달성군 화원읍 천내리 156-1,128.49737384967236,35.80381445635368
흰돌실버타운문화센타,노인복지,부산 수영구 연수로260번길 53,망미동 774-283,48239,정,부산광역시 수영구 망미동 774-283,129.0988476527567,35.17065686521251
우리실버타운,노인복지,경북 영천시 완산4길 127,완산동 709-16,38894,정,경상북도 영천시 완산동 709-16,128.94819843115022,35.965110015885024
백향그린실버타운,노인복지,인천 강화군 길상면 길상로304번길 49-20 백향실버타운,장흥리 445-4,23050,정,인천광역시 강화군 길상면 장흥리 445-4,126.49875804849353,37.64217656394162
사회복지법인자혜복지재단노량실버타운,"요양원,요양센터",경남 하동군 금남면 연화마을길 49-15,노량리 110-4,52352,정,경상남도 하동군 금남면 노량리 110-4,127.87835147391628,34.95985853277356
예솜실버타운&방문요양,노인복지,경기 파주시 광탄면 보광로 509-9 예솜실버타운&방문요양,영장리 39-2 예솜실버타운&방문요양,10953,정,경기도 파주시 광탄면 영장리 39-2,126.91055450119526,37.75320746024678
실버복지타운,노인복지,제주 제주시 구좌읍 종달논길 33,종달리 1113-14,63364,정,제주특별자치도 제주시 구좌읍 종달리 1113-14,126.90124841046523,33.493258604702696
울릉송담실버타운,노인복지,경북 울릉군 서면 학포길 36,태하리 405,40203,정,경상북도 울릉군 서면 태하리 405,130.80703465015142,37.50705356113803
조이실버복지타운,재가노인요양센터,서울 성북구 화랑로11길 26 갑을명가B 109호,하월곡동 227 갑을명가B 109호,02751,정,서울특별시 성북구 하월곡동 227,127.04204999957426,37.603245285390805
대경실버타운2,노인복지,대구 달서구 학산로50길 51,송현동 188-5,42739,정,대구광역시 달서구 송현동 188-5,128.5515309545799,35.83178025958034
이팝나무실버라이프,노인복지,대전 중구 대흥로 20 4층,대사동 248-263 4층,34945,정,대전광역시 중구 대사동 248-263,127.41642566875676,36.321743409640895
경북실버타운,노인복지,대구 달서구 조암남로14길 19,월성동 1544-2,42756,정,대구광역시 달서구 월성동 1544-2,128.52526858750377,35.8215957956561
고흥실버타운요양원,"요양원,요양센터",전남 고흥군 고흥읍 고흥로 1997-8,남계리 161-2,59535,정,경상북도 칠곡군 약목면 남계리 161-2,128.3638374211544,36.03047531367967
새아침실버홈,노인복지,경기 이천시 마장면 서이천로147번길 57,이치리 551,17385,정,경기도 이천시 마장면 이치리 551,127.37321793524734,37.25053187978926
청담실버타운2차,주택,서울 강남구 도산대로83길 46,청담동 112-9,06011,정,서울특별시 강남구 청담동 112-9,127.04908462430039,37.52737955365153
서초실버타운,주택,서울 서초구 서운로9길 50,서초동 1350-3,06726,정,서울특별시 서초구 서초동 1350-3,127.0269109909509,37.48579896879849
신정실버타운7차,주택,서울 양천구 중앙로54길 24,신정동 930-30,07942,정,서울특별시 양천구 신정동 930-30,126.85234282813514,37.52634482890015
실버타운경로당,노인복지,전북 김제시 하동1길 79-1,하동 404-20,54366,정,전북특별자치도 김제시 하동 404-20,126.89586346754864,35.81417056971523
해피실버타운,"요양원,요양센터",부산 남구 동명로101번길 37-7,용호1동 295,48521,정,부산광역시 남구 용호동 295,129.10735476376666,35.121503713464904
실버타운오피스텔,오피스텔,서울 서초구 서초대로77길 45,서초동 1308-4,06612,정,서울특별시 서초구 서초동 1308-4,127.0248128467418,37.5015676951581
태백시종합실버복지타운,노인복지,강원 태백시 황장목이길 23,문곡동 4-9,26044,정,강원특별자치도 태백시 문곡동 4-9,129.00330935382013,37.13090051048415
상록수실버타운,"요양원,요양센터",대구 달서구 문화회관3길 25,장기동 270-22,42698,정,대구광역시 달서구 장기동 270-22,128.52166352642647,35.847228444553316
