실버타운아이디,실버타운명,M존재여부,C의 개수,적합
1,청담실버타운5차,True,19.0,1
2,신우실버타운,True,16.0,1
3,호세실버타운,False,2.0,0
4,치악산실버타운,True,3.0,0
5,실버타운,True,19.0,1
6,실버타운,True,18.0,1
7,더힐실버타운,True,21.0,1
8,워커힐실버타운,True,20.0,1
9,한사랑실버타운,True,23.0,1
10,서면 실버복지타운,False,3.0,0
12,늘푸른실버타운,False,9.0,1
13,삼성홈실버타운,True,23.0,1
14,레인보우빌리지 실버타운,True,19.0,1
15,천안실버타운,False,8.0,1
16,삼성실버타운주간보호센터,False,2.0,0
17,유당마을실버타운,True,22.0,1
18,청평태양실버타운,True,18.0,1
19,실버타운청심빌리지,False,6.0,1
20,에쉐르카운티 실버타운형 아파트,True,23.0,1
22,흰돌실버타운,True,23.0,1
23,해인실버타운,True,23.0,1
24,도원실버타운,True,25.0,1
25,황전실버타운,True,14.0,1
26,경주안심실버타운,True,25.0,1
27,케어닥케어홈 실버타운 송추포레스트점,True,8.0,1
28,효덕실버타운,True,9.0,1
29,초원실버타운,True,23.0,1
31,서민실버타운,True,24.0,1
32,홍광실버타운,True,28.0,1
33,성라실버타운,True,3.0,0
34,노엘실버타운,True,5.0,1
35,칠곡실버타운,True,3.0,0
36,성덕실버타운,False,3.0,0
37,미리내실버타운,True,0.0,0
38,겔러리온 실버타운,True,2.0,0
40,원불교하이원빌리지,True,22.0,1
41,대구 신세계주간보호센터,True,27.0,1
42,가나실버타운,True,23.0,1
44,군포행복실버타운,True,12.0,1
45,근영실버타운,False,14.0,1
46,한국노인복지진흥재단포천실버타운,True,4.0,0
47,효사랑실버타운,True,15.0,1
49,익산실버타운주간보호센터,True,17.0,1
51,에덴실버타운,True,1.0,0
52,희연실버타운,True,23.0,1
53,의왕브이아이피실버타운,False,15.0,1
54,에덴실버타운주간보호센터,True,6.0,1
55,섬김실버타운,True,22.0,1
56,한사랑실버타운,True,22.0,1
57,단포실버타운,False,1.0,0
58,어버이사랑노인의료실버타운 병설데이케어센터3,True,15.0,1
59,호산실버타운,True,20.0,1
60,참사랑실버타운,False,2.0,0
61,아름다운실버타운,True,14.0,1
62,로뎀나무실버타운,True,16.0,1
63,효원실버타운,True,25.0,1
64,장수실버타운,True,9.0,1
65,효자실버타운,True,13.0,1
66,흰돌실버타운문화센타,True,23.0,1
67,우리실버타운,True,17.0,1
68,백향그린실버타운,True,17.0,1
71,실버복지타운,False,1.0,0
72,울릉송담실버타운,True,3.0,0
73,조이실버복지타운,True,15.0,1
74,대경실버타운2,True,12.0,1
75,이팝나무실버라이프,True,16.0,1
76,경북실버타운,True,18.0,1
77,고흥실버타운요양원,True,14.0,1
78,새아침실버홈,False,5.0,1
